playerID,careerPassYards,careerPassTDs,careerINTs,careerPasserRating,careerCompPct,careerSacks,careerGamesStarted,careerQBRushYards,seasonHighPassYards,seasonHighPassTDs,careerRushYards,careerRushTDs,careerYPC,careerRushAttempts,careerFumbles,seasonHighRushYards,careerRecYards,careerReceptions,careerRecTDs,careerYPR,seasonHighRecYards,seasonHighReceptions,careerTargets,careerTotalTDs,seasonHighRecTDs,seasonHighRushTDs,seasons
00-0019255,0,0,0,0.0,0,0,5,0,0,0,0,0,0,0,0,0,60,7,0,8.6,44,5,14,0,0,0,2
00-0019268,0,0,0,0.0,0,0,5,0,0,0,48,0,2.82,17,0,48,10,1,0,10.0,10,1,2,0,0,0,1
00-0019278,8,0,0,100.0,1.0,0,1,0,8,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
00-0019281,0,0,0,0.0,0,0,56,0,0,0,5,0,1.67,3,2,5,2298,221,7,10.4,1086,98,237,7,6,0,6
00-0019290,0,0,0,0.0,0,0,30,0,0,0,0,0,0,0,2,0,439,38,4,11.6,196,18,66,4,2,0,4
00-0019302,0,0,0,0.0,0,0,40,0,0,0,86,0,9.56,9,1,94,799,53,5,15.1,213,17,56,5,2,0,6
00-0019338,0,0,0,0.0,0,0,3,0,0,0,0,0,0,0,0,0,60,4,0,15.0,60,4,10,0,0,0,1
00-0019350,0,0,0,0.0,0,0,4,0,0,0,0,0,0,0,0,0,66,4,0,16.5,66,4,8,0,0,0,1
00-0019353,0,0,0,0.0,0,0,7,0,0,0,0,0,0,0,0,0,49,6,0,8.2,33,4,10,0,0,0,2
00-0019382,0,0,0,0.0,0,0,10,0,0,0,199,1,3.49,57,2,182,50,7,0,7.1,45,6,14,1,0,1,2
00-0019404,0,0,0,0.0,0,0,7,0,0,0,0,0,0,0,0,0,60,8,1,7.5,47,6,14,1,1,0,2
00-0019423,0,0,0,0.0,0,0,11,0,0,0,551,5,3.65,151,3,551,45,6,0,7.5,45,6,9,5,0,5,1
00-0019442,338,4,5,58.5,0.528,7,5,27,314,3,27,1,3.0,9,1,27,0,0,0,0,0,0,0,1,0,1,2
00-0019453,0,0,0,0.0,0,0,12,0,0,0,67,0,2.31,29,0,49,16,4,0,4.0,11,3,4,0,0,0,5
00-0019454,0,0,0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,17,1,0,17.0,17,1,4,0,0,0,1
00-0019510,0,0,0,0.0,0,0,15,0,0,0,5,0,5.0,1,1,5,170,19,0,8.9,100,14,35,0,0,0,3
00-0019516,0,0,0,0.0,0,0,58,0,0,0,2179,9,4.07,536,7,972,276,46,1,6.0,99,21,57,10,1,5,5
00-0019600,0,0,0,0.0,0,0,21,0,0,0,17,0,8.5,2,2,15,553,28,1,19.8,226,12,39,1,1,0,3
00-0019725,0,0,0,0.0,0,0,4,0,0,0,57,0,4.75,12,0,57,4,1,0,4.0,4,1,3,0,0,0,1
00-0019764,207,3,5,28.4,0.353,4,6,104,207,3,104,0,6.93,15,1,104,0,0,0,0,0,0,0,0,0,0,1
00-0019794,37,0,0,118.8,1.0,0,45,0,37,0,562,3,4.46,126,3,220,655,64,2,10.2,288,19,77,5,2,2,7
00-0019808,0,0,0,0.0,0,0,67,0,0,0,1648,9,4.6,358,5,763,1014,135,2,7.5,373,52,146,11,1,7,5
00-0019816,1012,5,7,63.6,0.537,9,9,37,1012,5,37,0,2.06,18,2,41,0,0,0,0,0,0,0,0,0,0,3
00-0019826,0,0,0,0.0,0,0,4,0,0,0,84,1,4.67,18,0,84,2,2,1,1.0,2,1,3,2,1,1,3
00-0019831,0,0,0,0.0,0,0,70,0,0,0,1470,6,3.67,400,4,821,880,110,3,8.0,394,45,122,9,1,6,7
00-0019862,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,3.0,3,1,1,0,0,0,1
00-0019863,0,0,0,0.0,0,0,84,0,0,0,3286,26,4.04,814,13,1104,1025,148,4,6.9,302,45,172,30,3,9,8
00-0019889,0,0,0,0.0,0,0,13,0,0,0,294,0,4.32,68,1,294,183,18,2,10.2,183,18,25,2,2,0,2
00-0019905,0,0,0,0.0,0,0,6,0,0,0,0,0,0,0,0,0,118,7,2,16.9,100,6,7,2,2,0,2
00-0019907,0,0,0,0.0,0,0,3,0,0,0,0,0,0,0,0,0,42,4,0,10.5,42,4,4,0,0,0,1
00-0019913,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
00-0019916,0,0,0,0.0,0,0,10,0,0,0,0,0,0,0,0,0,41,6,0,6.8,36,5,12,0,0,0,2
00-0019919,0,0,0,0.0,0,0,24,0,0,0,13,0,13.0,1,2,13,471,42,0,11.2,293,28,42,0,0,0,4
00-0019932,0,0,0,0.0,0,0,16,0,0,0,0,0,0,0,0,0,175,23,0,7.6,89,13,23,0,0,0,3
00-0019975,0,0,0,0.0,0,0,3,0,0,0,0,0,0,0,0,0,67,3,0,22.3,67,3,3,0,0,0,1
00-0019976,40,1,0,149.3,0.667,0,90,0,26,1,15,0,7.5,2,5,12,4412,307,28,14.4,1247,80,360,28,11,0,8
00-0019997,0,0,0,0.0,0,0,48,0,0,0,79,0,5.27,15,2,36,1160,114,6,10.2,549,49,114,6,4,0,5
00-0020018,0,0,0,0.0,0,0,13,0,0,0,0,0,0,0,0,0,86,14,1,6.1,44,9,24,1,1,0,2
00-0020021,0,0,0,0.0,0,0,16,0,0,0,0,0,0,0,0,0,418,34,2,12.3,177,13,43,2,1,0,4
00-0020022,0,0,0,0.0,0,0,62,0,0,0,2197,11,3.63,605,11,834,937,113,3,8.3,413,38,124,14,3,6,5
00-0020030,0,0,0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,95,6,0,15.8,95,6,6,0,0,0,1
00-0020046,0,0,0,0.0,0,0,2,0,0,0,42,0,7.0,6,0,42,19,1,0,19.0,19,1,1,0,0,0,2
00-0020050,0,0,0,0.0,0,0,4,0,0,0,0,0,0,0,0,0,26,3,0,8.7,26,3,5,0,0,0,1
00-0020058,0,0,0,0.0,0,0,6,0,0,0,8,0,2.0,4,0,8,68,8,1,8.5,60,6,8,1,1,0,2
00-0020062,0,0,0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
00-0020073,0,0,0,0.0,0,0,2,0,0,0,0,0,0.0,1,0,0,1,1,0,1.0,1,1,1,0,0,0,1
00-0020090,0,0,0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,42,2,0,21.0,42,2,3,0,0,0,1
00-0020094,0,0,0,0.0,0,0,11,0,0,0,0,0,0.0,1,0,0,113,12,0,9.4,61,5,19,0,0,0,4
00-0020112,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
00-0020126,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,13,1,0,13.0,13,1,1,0,0,0,1
